case_id,kind,verdict,reason,length_m,nvdb_id,road_reference,x,y,longitude,latitude,imagery_project,imagery_project_id,imagery_date,imagery_resolution_m,reviewer,review_stage,followup_evidence,confidence,imagery_source,notes
G01,unsupported_gap,false_positive,barrier_visible_under_canopy,7.0,671258022,FV6650 S2D1 m842-856,269169.7089842959,7040843.2845768845,10.373132223826005,63.42103999128382,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex evidence review; not independent ground truth,followup,FOLLOWUP.md; evidence_manifest.json,medium,https://norgeibilder.no/,"20 July 2022 road frame shows steel rail with mesh panels at the frontage under the canopy, consistent with NVDB 671258022. The laser gap is rejected as an absence claim. Canopy interception is plausible; exact cause and survey-day condition are not proven."
C01,unregistered_candidate,false_positive,building_and_garden,51.86599367965202,,,269159.48921681714,7040994.502738035,10.372709629567758,63.42238609478621,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex evidence review; not independent ground truth,first_pass,,unrated,https://norgeibilder.no/,Hull crosses building footprints and a garden/terrace strip; incompatible with a single vehicle guardrail.
C02,unregistered_candidate,false_positive,vegetated_slope,104.37101967699343,,,268998.8907085344,7041432.362145787,10.368869595588578,63.42619891360693,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex evidence review; not independent ground truth,followup,FOLLOWUP.md; evidence_manifest.json,medium,https://norgeibilder.no/,"2022 imagery and laser profile show a wooded slope behind the registered roadside barrier. Leaf-off 2024/2026 imagery resolves the candidate strip as vegetation/terrain beside the track. Rejected at screening level, medium confidence; later images are corroboration, not 2022 ground truth."
C03,unregistered_candidate,uncertain,railway_parking_boundary,52.27910904997263,,,268964.81637232075,7041536.065019912,10.368039087620444,63.427104495391106,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex evidence review; not independent ground truth,followup,FOLLOWUP.md; evidence_manifest.json,unrated,https://norgeibilder.no/,"2024/2026 leaf-off imagery resolves a linear boundary beside parking on the opposite side of the track. Road frames show the nearer registered rail, not this boundary. Barrier type and 2022 condition require close inspection."
C04,unregistered_candidate,false_positive,vegetated_slope,47.628627248218564,,,269031.88114536006,7041356.091896495,10.369638725813891,63.42553802120205,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex evidence review; not independent ground truth,followup,FOLLOWUP.md; evidence_manifest.json,medium,https://norgeibilder.no/,"Broad tree/undergrowth volume in 2022 laser; leaf-off 2024/2026 imagery exposes terrain between the road and track, separate from the registered roadside barrier. Rejected at screening level, medium confidence; no field verification."
C05,unregistered_candidate,uncertain,railway_hedge_boundary,40.63842399000784,,,268982.7362488881,7041490.7027243385,10.368462586692104,63.42671032542791,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex evidence review; not independent ground truth,followup,FOLLOWUP.md; evidence_manifest.json,unrated,https://norgeibilder.no/,Boundary beside the track/access lane persists in later aerial imagery. 2022 returns mix vegetation and a low linear feature; road images do not resolve its type. Inspect from the access-lane side.
C06,unregistered_candidate,false_positive,traffic_lane,11.402370580878019,,,269123.4854192679,7040660.954999068,10.372472839664134,63.419379034242105,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex evidence review; not independent ground truth,first_pass,,unrated,https://norgeibilder.no/,"Hull lies inside a traffic lane, not on a fixed roadside boundary. Transient vehicle returns are a plausible explanation, not proven."
C07,unregistered_candidate,uncertain,changed_forecourt,16.84259333994686,,,269161.2895871665,7041087.6087029055,10.372611007247238,63.4232201386789,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex evidence review; not independent ground truth,followup,FOLLOWUP.md; evidence_manifest.json,unrated,https://norgeibilder.no/,"2022 imagery and laser favour a hedge-like feature in the building forecourt. The forecourt changes in 2024/2026, so its later cleared state cannot establish the 2022 condition. A close 2022 photo or maintenance record is needed."
C08,unregistered_candidate,false_positive,vegetated_track_margin,16.15618299792241,,,268974.16187916155,7041495.431889729,10.368284514487689,63.42674707237272,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex evidence review; not independent ground truth,followup,FOLLOWUP.md; evidence_manifest.json,medium,https://norgeibilder.no/,"Irregular low vegetation and shrub returns beside the track in 2022, corroborated by exposed vegetated ground in leaf-off 2024/2026 imagery. Rejected at screening level, medium confidence; later imagery cannot prove survey-day absence."
C09,unregistered_candidate,false_positive,building_footprint,13.803886273459058,,,269141.1878506876,7041166.059187658,10.372096219540566,63.42390889864221,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex evidence review; not independent ground truth,first_pass,,unrated,https://norgeibilder.no/,Hull overlaps the roof/building footprint rather than a roadside guardrail.
C10,unregistered_candidate,false_positive,vegetated_track_margin,16.529114968639135,,,269210.12426145346,7041774.922753165,10.37259264816345,63.429400116471946,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex evidence review; not independent ground truth,followup,FOLLOWUP.md; evidence_manifest.json,medium,https://norgeibilder.no/,"2022 laser includes irregular undergrowth and tree returns. Leaf-off 2024/2026 imagery locates the hull on the track-side slope, beyond the registered wall/rail at road level. Rejected at screening level, medium confidence."
